Competition Schedule for 2021: The Event Line-up for Each Session of the Olympic Games Tokyo 2020;;;;;;
SPORT(DISCIPLINE);VENUE;DATE;START TIME;END TIME;EVENT;
Badminton;Musashino Forest Sport Plaza;2021-07-29;09:00;15:30;"Mixed Doubles Semifinals / Men's Doubles Quarterfinals /
Women's Singles Round of 16";
Badminton;Musashino Forest Sport Plaza;2021-07-29;17:00;22:00;"Men's Singles Round of 16 /
Women's Doubles Quarterfinals";
Badminton;Musashino Forest Sport Plaza;2021-07-30;09:00;12:30;"Women's Singles Quarterfinals /
Mixed Doubles Bronze Medal Match";
Badminton;Musashino Forest Sport Plaza;2021-07-30;15:30;21:30;"Mixed Doubles Gold Medal Match / Mixed Doubles Victory Ceremony / Women's Singles Quarterfinals /
Men's Doubles Semifinals";
Badminton;Musashino Forest Sport Plaza;2021-07-31;09:00;16:00;"Men's Singles Quarterfinals /
Women's Doubles Semifinals";
Badminton;Musashino Forest Sport Plaza;2021-07-31;18:00;23:00;"Women's Singles Semifinals /
Men's Doubles Bronze Medal Match / Men's Doubles Gold Medal Match / Men's Doubles Victory Ceremony";
Badminton;Musashino Forest Sport Plaza;2021-08-01;13:00;16:00;Men's Singles Semifinals;
Badminton;Musashino Forest Sport Plaza;2021-08-01;20:30;23:00;"Women's Singles Bronze Medal Match / Women's Singles Gold Medal Match /
Women's Singles Victory Ceremony";
Badminton;Musashino Forest Sport Plaza;2021-08-02;13:00;15:30;"Women's Doubles Bronze Medal Match /
Women's Doubles Gold Medal Match / Women's Doubles Victory Ceremony";
Badminton;Musashino Forest Sport Plaza;2021-08-02;20:00;23:00;"Men's Singles Bronze Medal Match / Men's Singles Gold Medal Match /
Men's Singles Victory Ceremony";
Baseball/Softball;Fukushima Azuma Baseball Stadium;2021-07-21;09:00;17:00;"Softball Opening Round, Australia vs Japan / Softball Opening Round, Italy vs United States /
Softball Opening Round, Mexico vs Canada";
Baseball/Softball;Fukushima Azuma Baseball Stadium;2021-07-22;09:00;17:00;"Softball Opening Round, United States vs Canada / Softball Opening Round, Mexico vs Japan /
Softball Opening Round, Italy vs Australia";
Baseball/Softball;Yokohama Baseball Stadium;2021-07-24;10:00;16:30;"Softball Opening Round, Australia vs Canada /
Softball Opening Round, United States vs Mexico";
Baseball/Softball;Yokohama Baseball Stadium;2021-07-24;20:00;22:00;Softball Opening Round, Japan vs Italy;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-25;10:00;16:30;"Softball Opening Round, Australia vs United States /
Softball Opening Round, Canada vs Japan";
Baseball/Softball;Yokohama Baseball Stadium;2021-07-25;20:00;22:00;Softball Opening Round, Italy vs Mexico;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-26;10:00;16:30;"Softball Opening Round, Japan vs United States /
Softball Opening Round, Canada vs Italy";
Baseball/Softball;Yokohama Baseball Stadium;2021-07-26;20:00;22:00;Softball Opening Round, Mexico vs Australia;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-27;13:00;15:00;Softball Bronze Medal Game;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-27;20:00;22:30;"Softball Gold Medal Game /
Softball Victory Ceremony";
Baseball/Softball;Fukushima Azuma Baseball Stadium;2021-07-28;12:00;15:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-29;19:00;22:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-30;12:00;15:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-30;19:00;22:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-31;12:00;15:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-07-31;19:00;22:00;Baseball Opening Round;
Baseball/Softball;Yokohama Baseball Stadium;2021-08-01;12:00;15:00;Baseball Knockout stage (#1);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-01;19:00;22:00;Baseball Knockout stage (#2);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-02;12:00;15:00;Baseball Knockout stage (#3);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-02;19:00;22:00;Baseball Knockout stage (#4);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-03;19:00;22:00;Baseball Knockout stage (#5);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-04;12:00;15:00;Baseball Knockout stage (#6);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-04;19:00;22:00;Baseball Semifinal (#7);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-05;19:00;22:00;Baseball Semifinal (#8);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-07;12:00;15:00;Baseball Bronze Medal Game (#9);
Baseball/Softball;Yokohama Baseball Stadium;2021-08-07;19:00;22:30;"Baseball Gold Medal Game (#10) /
Baseball Victory Ceremony";
Basketball;Saitama Super Arena;2021-07-25;10:00;12:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-25;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-25;17:20;19:20;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-25;21:00;23:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-26;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-26;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-26;17:20;19:20;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-26;21:00;23:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-27;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-27;13:40;15:40;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-27;17:20;19:20;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-27;21:00;23:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-28;10:00;12:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-28;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-28;17:20;19:20;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-28;21:00;23:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-29;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-29;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-29;17:20;19:20;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-29;21:00;23:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-30;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-30;13:40;15:40;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-30;17:20;19:20;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-30;21:00;23:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-31;10:00;12:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-31;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-31;17:20;19:20;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-07-31;21:00;23:00;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-01;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-01;13:40;15:40;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-01;17:20;19:20;Men's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-01;21:00;23:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-02;10:00;12:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-02;13:40;15:40;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-02;17:20;19:20;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-02;21:00;23:00;Women's Preliminary Round;
Basketball;Saitama Super Arena;2021-08-03;10:00;12:00;Men's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-03;13:40;15:40;Men's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-03;17:20;19:20;Men's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-03;21:00;23:00;Men's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-04;10:00;12:00;Women's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-04;13:40;15:40;Women's Quarterfinal;
